Index,X Axis,ONOISE,INOISE
734,2.13796208950218E7,2.4219223078679823E-18,2.814552346493367E-14
735,2.187761623949499E7,2.2780284620272263E-18,2.8132075213650138E-14
736,2.238721138568285E7,2.1429310445011176E-18,2.8122234944170537E-14
737,2.290867652767717E7,2.016102071510578E-18,2.8116711358356433E-14
738,2.344228815319865E7,1.8970422500727402E-18,2.8116190524241284E-14
739,2.3988329190194316E7,1.7852797751285512E-18,2.812133505974866E-14
740,2.4547089156849705E7,1.6803691484950166E-18,2.8132783587370018E-14
741,2.5118864315095186E7,1.581890020575792E-18,2.8151150443164178E-14
742,2.570395782768801E7,1.4894460558689245E-18,2.8177025621562833E-14
743,2.6302679918953177E7,1.4026638233801604E-18,2.8210974936140863E-14
744,2.6915348039268497E7,1.3211917130670573E-18,2.8253540376484113E-14
745,2.754228703338099E7,1.2446988794418342E-18,2.830524063968558E-14
746,2.818382931264385E7,1.1728742134079568E-18,2.8366571816123893E-14
747,2.8840315031265352E7,1.1054253433492124E-18,2.84380082084851E-14
748,2.951209226666313E7,1.0420776663975933E-18,2.852000326407027E-14
749,3.0199517204019416E7,9.825734107012276E-19,2.8612990600753686E-14
750,3.090295432513514E7,9.266707293957893E-19,2.871738510828517E-14
751,3.1622776601683013E7,8.741428268526443E-19,2.883358410740286E-14
752,3.2359365692962028E7,8.247771176394953E-19,2.8961968550938073E-14
753,3.311311214825829E7,7.78374418493558E-19,2.9102904251836547E-14
754,3.3884415613919415E7,7.347481734603704E-19,2.925674312563998E-14
755,3.46736850452523E7,6.937237122181295E-19,2.942382443519891E-14
756,3.548133892335666E7,6.551375414664982E-19,2.960447602836351E-14
757,3.630780547700923E7,6.188366691311438E-19,2.9799015560058316E-14
758,3.715352290971633E7,5.846779610095591E-19,3.000775169250021E-14
759,3.801893963205517E7,5.525275293677069E-19,3.023098526897131E-14
760,3.890451449942709E7,5.222601528906511E-19,3.046901045778319E-14
761,3.9810717055348724E7,4.9375872729188295E-19,3.072211586528363E-14
762,4.0738027780410245E7,4.669137457988281E-19,3.0990585618069116E-14
763,4.168693834703249E7,4.416228086550357E-19,3.127470041626514E-14
764,4.265795188015818E7,4.177901607137208E-19,3.1574738561009783E-14
765,4.365158322401549E7,3.9532625614105394E-19,3.1890976960851665E-14
766,4.466835921509518E7,3.7414734920294144E-19,3.222369212294571E-14
767,4.570881896148634E7,3.5417511007388137E-19,3.2573161136150437E-14
768,4.677351412871863E7,3.353362645818096E-19,3.293966265410607E-14
769,4.786300923226262E7,3.175622567868251E-19,3.332347788720846E-14
770,4.897788193684337E7,3.007889332849055E-19,3.372489161334083E-14
771,5.011872336272596E7,2.8495624812909585E-19,3.4144193217774907E-14
772,5.128613839913518E7,2.700079872695995E-19,3.458167777254171E-14
773,5.2480746024975926E7,2.558915114289867E-19,3.503764716715546E-14
774,5.37031796370239E7,2.4255751635166206E-19,3.551241130070457E-14
775,5.495408738576105E7,2.2995980939178447E-19,3.6006289347403E-14
776,5.623413251903347E7,2.1805510143662453E-19,3.651961110577764E-14
777,5.7543993733714215E7,2.0680281319675268E-19,3.7052718441838974E-14
778,5.888436553555739E7,1.9616489493236325E-19,3.760596683629118E-14
779,6.025595860743423E7,1.8610565872566303E-19,3.817972704489177E-14
780,6.1659500186146624E7,1.765916224517751E-19,3.8774386879424404E-14
781,6.3095734448017694E7,1.6759136464266887E-19,3.939035311765407E-14
782,6.456542290346388E7,1.5907538948375271E-19,4.002805354717433E-14
783,6.606934480075789E7,1.5101600122534841E-19,4.068793914877023E-14
784,6.760829753919642E7,1.433871873353229E-19,4.1370486422601E-14
785,6.918309709189184E7,1.3616450976128984E-19,4.207619985996223E-14
786,7.079457843841194E7,1.293250037127052E-19,4.2805614561099385E-14
787,7.244359600749712E7,1.2284708341276305E-19,4.355929899946982E-14
788,7.413102413008982E7,1.1671045430877549E-19,4.433785793096689E-14
789,7.58577575029164E7,1.1089603126651587E-19,4.514193544521746E-14
790,7.762471166286714E7,1.0538586230854604E-19,4.597221815594587E-14
791,7.943282347242607E7,1.0016305748983258E-19,4.682943852536197E-14
792,8.12830516164078E7,9.521172253445986E-20,4.771437831816101E-14
793,8.317637711026493E7,9.051689688660587E-20,4.8627872178451906E-14
794,8.511380382023542E7,8.606449585548987E-20,4.9570811324129936E-14
795,8.709635899560577E7,8.184125655928317E-20,5.0544147351844797E-14
796,8.91250938133722E7,7.783468739594873E-20,5.154889614646877E-14
797,9.120108393558857E7,7.403302079045211E-20,5.258614188857249E-14
798,9.332543007969664E7,7.042516898743028E-20,5.365704115372947E-14
799,9.549925860214107E7,6.70006826763535E-20,5.476282709891849E-14
800,9.772372209557848E7,6.374971225304739E-20,5.590481373017292E-14
801,9.999999999999735E7,6.066297153633346E-20,5.708440024829152E-14
802,1.0232929922807269E8,5.773170377273506E-20,5.830307546877565E-14
803,1.0471285480508716E8,5.494764977477434E-20,5.956242231344803E-14
804,1.0715193052375779E8,5.230301805010299E-20,6.086412237280278E-14
805,1.0964781961431557E8,4.979045678944478E-20,6.220996053741507E-14
806,1.1220184543019333E8,4.740302759105959E-20,6.360182969948141E-14
807,1.148153621496852E8,4.5134180808531876E-20,6.504173552432261E-14
808,1.174897554939498E8,4.2977732416912107E-20,6.653180129365234E-14
809,1.2022644346173808E8,4.092784229986596E-20,6.807427282243659E-14
810,1.2302687708123487E8,3.897899386758214E-20,6.967152345076084E-14
811,1.2589254117941335E8,3.712597492154071E-20,7.132605911374087E-14
812,1.2882495516930993E8,3.536385968835129E-20,7.304052349142875E-14
813,1.3182567385563716E8,3.368799195032537E-20,7.481770324052072E-14
814,1.3489628825916174E8,3.2093969205509734E-20,7.666053331029133E-14
815,1.3803842646028477E8,3.057762779461966E-20,7.857210234467279E-14
816,1.4125375446227163E8,2.913502893657457E-20,8.055565817129967E-14
817,1.4454397707458887E8,2.7762445618237386E-20,8.261461337972671E-14
818,1.4791083881681675E8,2.645635028755892E-20,8.475255098899928E-14
819,1.5135612484361672E8,2.521340330251293E-20,8.697323020651246E-14
820,1.5488166189124393E8,2.4030442091155494E-20,8.928059227820776E-14
821,1.5848931924610704E8,2.2904470980747137E-20,9.167876643194261E-14
822,1.621810097358886E8,2.1832651656229128E-20,9.41720759145407E-14
823,1.6595869074375156E8,2.0812294210468725E-20,9.676504412433236E-14
