# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP) W(GDSP)
5.50000000000e-01 2.24737385576e+01 2.92933062072e-08 3.37708967807e-03 2.19709558264e-10 2.17539503614e-10 4.14618812159e-10 1.06686208364e+01 -4.43283023920e-02 2.82388251451e-09
5.60000000000e-01 2.20430283977e+01 3.65959349598e-08 3.70223635697e-03 2.19720424256e-10 2.17698905599e-10 4.14847544841e-10 1.08910919115e+01 -4.60707709590e-02 3.45579472502e-09
5.70000000000e-01 2.16026126483e+01 4.55205078700e-08 4.03258143924e-03 2.19730708420e-10 2.17847227914e-10 4.15124542287e-10 1.11326113315e+01 -4.80700853876e-02 4.20529595348e-09
5.80000000000e-01 2.11465578102e+01 5.63684160857e-08 4.36403150165e-03 2.19740447770e-10 2.17985149138e-10 4.15454047951e-10 1.13940918549e+01 -5.03424705644e-02 5.08794758674e-09
5.90000000000e-01 2.06696783353e+01 6.94767248649e-08 4.69259026370e-03 2.19749676645e-10 2.18113332031e-10 4.15840093910e-10 1.16761223697e+01 -5.29014540476e-02 6.11965886072e-09
6.00000000000e-01 2.01681337832e+01 8.52154073679e-08 5.01454848331e-03 2.19758426914e-10 2.18232418250e-10 4.16286508163e-10 1.19788751689e+01 -5.57574042261e-02 7.31625103771e-09
6.10000000000e-01 1.96398337467e+01 1.03982372199e-07 5.32663671126e-03 2.19766728181e-10 2.18343024352e-10 4.16796946796e-10 1.23020277936e+01 -5.89171782534e-02 8.69299701594e-09
6.20000000000e-01 1.90846152135e+01 1.26196338089e-07 5.62613050614e-03 2.19774607955e-10 2.18445738933e-10 4.17374946333e-10 1.26447029714e+01 -6.23839054356e-02 1.02641888572e-08
6.30000000000e-01 1.85041967593e+01 1.52287864418e-07 5.91090517156e-03 2.19782091818e-10 2.18541120750e-10 4.18023990589e-10 1.30054287125e+01 -6.61569242326e-02 1.20427906582e-08
6.40000000000e-01 1.79019460784e+01 1.82689088433e-07 6.17944360284e-03 2.19789203575e-10 2.18629697649e-10 4.18747586258e-10 1.33821197380e+01 -7.02318801435e-02 1.40402296292e-08
6.50000000000e-01 1.72825171896e+01 2.17822903287e-07 6.43080544660e-03 2.19795965390e-10 2.18711966180e-10 4.19549342164e-10 1.37720808587e+01 -7.46009786659e-02 1.62663642021e-08
6.60000000000e-01 1.66514204108e+01 2.58092397992e-07 6.66456815357e-03 2.19802397912e-10 2.18788391752e-10 4.20433048169e-10 1.41720322899e+01 -7.92533741711e-02 1.87296470340e-08
